true,pred
1.2796547,1.1229354
1.0721259,0.99356246
1.0650731,0.9805831
1.0194684,0.96520495
1.334008,1.179357
1.285043,1.1479568
1.200685,1.0930724
1.077796,0.994167
0.9900822,0.94276655
1.1771768,1.0499209
1.2383319,1.1015491
1.1358485,1.0317823
1.10139,1.0019021
1.2316754,1.1083425
1.0651544,0.99904597
1.161764,1.049535
1.3138218,1.1666696
1.1671095,1.0620233
1.238932,1.1086354
1.186946,1.0811744
1.1555917,1.0486178
1.2095655,1.076909
1.099746,1.005901
1.0321565,0.9718152
1.6779788,1.6973965
1.5635092,1.6028535
1.5028956,1.5431424
1.6380731,1.6424195
1.5303088,1.6241056
1.7266765,1.7305712
1.4164423,1.4807769
1.6738399,1.6710963
1.6970813,1.7253617
1.2994322,1.3701751
1.4829035,1.5439805
1.711846,1.7305561
1.6118886,1.6538371
1.4002738,1.4589657
1.4760307,1.5500062
1.4733949,1.5644268
1.5684042,1.5921098
1.624093,1.6462475
1.3769734,1.4171132
1.4107107,1.4749492
1.4315915,1.5223408
1.5326232,1.5228013
1.3476202,1.4431878
1.6186289,1.6447988
1.6407795,1.6559297
1.3207366,1.4184846
1.3275671,1.4586881
1.600366,1.5814208
1.5598673,1.6349338
1.4233376,1.5099173
1.6633435,1.693344
1.5361145,1.6237849
1.64505,1.673164
1.6450144,1.68607
1.4829543,1.5299557
1.5388348,1.5712298
1.4148166,1.4897512
1.3724976,1.5109571
1.4958072,1.5332378
1.4340544,1.5603024
1.3703299,1.4731972
1.5609027,1.6515106
1.5473806,1.63776
1.3376173,1.4016179
1.3424593,1.4230157
1.4220661,1.4737052
1.4958274,1.5859762
1.3451725,1.4416512
1.3798617,1.4512165
1.4463824,1.5355474
1.529522,1.6270837
1.6360074,1.6352886
1.3424752,1.4445511
1.5188673,1.6005763
1.3503166,1.4275724
1.6428571,1.6610037
1.466373,1.529482
1.5228059,1.5870486
1.5112472,1.5549105
1.4315275,1.4883453
1.5181416,1.5300752
1.5085,1.551873
1.3712263,1.4396044
1.3899604,1.5171772
1.378208,1.424606
1.4699634,1.5240064
1.4599627,1.5469527
1.3645961,1.4628886
1.6834813,1.7004944
1.6201241,1.6746584
1.4168082,1.5025445
1.4777377,1.5560521
1.6151551,1.6119322
1.3769485,1.4615628
1.4407504,1.5414463
1.2407457,1.3287972
1.6747166,1.698298
